case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
101,ok,openjij-sqa,80.0,80.0,55.0,45.0,default,32,40,-349.0,-675.0,326.0,True,0,0,7,8,41,5.753547661006451,5.75675706101174
102,ok,openjij-sqa,80.0,80.0,55.0,45.0,default,32,41,-415.0,-675.0,260.0,False,1,1,7,8,50,5.389019088994246,5.391644388990244
103,ok,openjij-sqa,80.0,80.0,55.0,45.0,default,32,42,-452.0,-675.0,223.0,False,0,2,10,5,53,5.366040089997114,5.368784490012331
104,ok,openjij-sqa,80.0,80.0,55.0,45.0,default,32,43,-503.0,-675.0,172.0,True,0,0,8,7,47,6.003613585999119,6.023513585998444
105,ok,openjij-sqa,80.0,80.0,55.0,45.0,default,32,44,-371.0,-675.0,304.0,False,0,2,5,10,39,5.121855478006182,5.124774077994516
106,ok,openjij-sqa,80.0,80.0,60.0,35.0,default,32,40,-258.0,-525.0,267.0,True,0,0,7,8,72,5.323264275997644,5.326915776007809
107,ok,openjij-sqa,80.0,80.0,60.0,35.0,default,32,41,-258.0,-525.0,267.0,True,0,0,5,10,57,5.29588487399451,5.2984995739971055
108,ok,openjij-sqa,80.0,80.0,60.0,35.0,default,32,42,-307.0,-525.0,218.0,True,0,0,11,4,23,5.165414057992166,5.168040257995017
109,ok,openjij-sqa,80.0,80.0,60.0,35.0,default,32,43,-300.0,-525.0,225.0,True,0,0,10,5,25,5.305162071992527,5.307793771993602
110,ok,openjij-sqa,80.0,80.0,60.0,35.0,default,32,44,-353.0,-525.0,172.0,True,0,0,7,8,16,5.218457388997194,5.2213859890034655
111,ok,openjij-sqa,80.0,80.0,60.0,40.0,default,32,40,-344.0,-600.0,256.0,True,0,0,8,7,11,5.32662289700238,5.329971597006079
112,ok,openjij-sqa,80.0,80.0,60.0,40.0,default,32,41,-404.0,-600.0,196.0,True,0,0,6,9,19,5.17294701100036,5.1763428110134555
113,ok,openjij-sqa,80.0,80.0,60.0,40.0,default,32,42,-420.0,-600.0,180.0,True,0,0,6,9,16,5.131128428998636,5.133920330001274
114,ok,openjij-sqa,80.0,80.0,60.0,40.0,default,32,43,-412.0,-600.0,188.0,True,0,0,6,9,24,5.087708798004314,5.090209697998944
115,ok,openjij-sqa,80.0,80.0,60.0,40.0,default,32,44,-304.0,-600.0,296.0,True,0,0,3,12,18,5.203620985004818,5.206295784999384
116,ok,openjij-sqa,80.0,80.0,60.0,45.0,default,32,40,-260.0,-675.0,415.0,False,1,1,5,10,30,5.304313462009304,5.307335662000696
117,ok,openjij-sqa,80.0,80.0,60.0,45.0,default,32,41,-374.0,-675.0,301.0,False,0,2,9,6,86,7.041261081001721,7.045464880997315
118,ok,openjij-sqa,80.0,80.0,60.0,45.0,default,32,42,-455.0,-675.0,220.0,False,1,1,10,5,50,5.165503091993742,5.169274692001636
119,ok,openjij-sqa,80.0,80.0,60.0,45.0,default,32,43,-338.0,-675.0,337.0,False,0,2,8,7,19,4.9850825920002535,4.9876816920004785
120,ok,openjij-sqa,80.0,80.0,60.0,45.0,default,32,44,-400.0,-675.0,275.0,False,1,3,7,8,22,5.299213013990084,5.3017649139947025
121,ok,openjij-sqa,80.0,80.0,65.0,35.0,default,32,40,-202.0,-525.0,323.0,False,0,2,7,8,66,5.139258904004237,5.141906503995415
122,ok,openjij-sqa,80.0,80.0,65.0,35.0,default,32,41,-206.0,-525.0,319.0,True,0,0,6,9,46,5.1178019950020825,5.121015894997981
123,ok,openjij-sqa,80.0,80.0,65.0,35.0,default,32,42,-334.0,-525.0,191.0,True,0,0,3,12,30,5.070593394993921,5.07350179500645
124,ok,openjij-sqa,80.0,80.0,65.0,35.0,default,32,43,-181.0,-525.0,344.0,False,0,2,5,10,61,5.089681996003492,5.09421739600657
125,ok,openjij-sqa,80.0,80.0,65.0,35.0,default,32,44,-351.0,-525.0,174.0,False,0,2,12,3,8,5.215673400001833,5.218285700000706
126,ok,openjij-sqa,80.0,80.0,65.0,40.0,default,32,40,-407.0,-600.0,193.0,True,0,0,8,7,16,5.056698704007431,5.059433504007757
127,ok,openjij-sqa,80.0,80.0,65.0,40.0,default,32,41,-423.0,-600.0,177.0,True,0,0,6,9,53,4.981596710000304,4.984840110002551
128,ok,openjij-sqa,80.0,80.0,65.0,40.0,default,32,42,-431.0,-600.0,169.0,True,0,0,10,5,9,4.99620612799481,4.9986748279916355
129,ok,openjij-sqa,80.0,80.0,65.0,40.0,default,32,43,-383.0,-600.0,217.0,True,0,0,6,9,35,5.028353521003737,5.03148462100944
130,ok,openjij-sqa,80.0,80.0,65.0,40.0,default,32,44,-407.0,-600.0,193.0,True,0,0,6,9,42,5.127247918993817,5.129781019000802
131,ok,openjij-sqa,80.0,80.0,65.0,45.0,default,32,40,-396.0,-675.0,279.0,False,1,1,5,10,27,4.9928277599974535,4.996228460004204
132,ok,openjij-sqa,80.0,80.0,65.0,45.0,default,32,41,-380.0,-675.0,295.0,False,0,2,6,9,48,5.015734546002932,5.0193323459971
133,ok,openjij-sqa,80.0,80.0,65.0,45.0,default,32,42,-493.0,-675.0,182.0,True,0,0,9,6,26,4.85413582601177,4.8569134260033024
134,ok,openjij-sqa,80.0,80.0,65.0,45.0,default,32,43,-300.0,-675.0,375.0,True,0,0,8,7,60,5.09203560599417,5.094804705993738
135,ok,openjij-sqa,80.0,80.0,65.0,45.0,default,32,44,-448.0,-675.0,227.0,True,0,0,5,10,32,4.977675001005991,4.980430501003866
