case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
63,ok,openjij-sqa,500.0,500.0,30.0,30.0,default,32,-36.0,-450.0,414.0,True,0,0,3,12,47,4.162595814999804,4.165089815000101
64,ok,openjij-sqa,500.0,500.0,50.0,10.0,default,default,11572.0,-150.0,11722.0,False,10,10,3,12,51,1.215295938998679,1.2178156390000368
65,ok,openjij-sqa,500.0,500.0,50.0,10.0,default,16,356.0,-150.0,506.0,True,0,0,2,13,60,2.4237779779996345,2.42627137800082
66,ok,openjij-sqa,500.0,500.0,50.0,10.0,default,32,282.0,-150.0,432.0,True,0,0,2,13,84,4.145433804000277,4.1479035039992596
67,ok,openjij-sqa,500.0,500.0,50.0,20.0,default,default,14550.0,-300.0,14850.0,False,13,13,2,13,27,1.190605963998678,1.1932251639991591
68,ok,openjij-sqa,500.0,500.0,50.0,20.0,default,16,358.0,-300.0,658.0,True,0,0,2,13,43,2.475332215999515,2.4777361159995053
69,ok,openjij-sqa,500.0,500.0,50.0,20.0,default,32,214.0,-300.0,514.0,True,0,0,5,10,65,4.128013833000296,4.130533033001484
70,ok,openjij-sqa,500.0,500.0,50.0,30.0,default,default,11226.0,-450.0,11676.0,False,10,10,1,14,52,1.1836519979988225,1.18611239799975
71,ok,openjij-sqa,500.0,500.0,50.0,30.0,default,16,1394.0,-450.0,1844.0,False,1,1,1,14,69,2.384753795000506,2.3873436949997995
72,ok,openjij-sqa,500.0,500.0,50.0,30.0,default,32,102.0,-450.0,552.0,True,0,0,2,13,29,4.296817391999866,4.2992994920005
73,ok,openjij-sqa,500.0,500.0,100.0,10.0,default,default,15982.0,-150.0,16132.0,False,13,13,1,14,49,1.1745212440000614,1.1769707439998456
74,ok,openjij-sqa,500.0,500.0,100.0,10.0,default,16,3028.0,-150.0,3178.0,False,2,2,3,12,52,2.445875289999094,2.448357589999432
75,ok,openjij-sqa,500.0,500.0,100.0,10.0,default,32,538.0,-150.0,688.0,True,0,0,3,12,50,4.185974120000537,4.188413719999517
76,ok,openjij-sqa,500.0,500.0,100.0,20.0,default,default,16016.0,-300.0,16316.0,False,13,13,4,11,50,1.2038008269992133,1.2067682279994187
77,ok,openjij-sqa,500.0,500.0,100.0,20.0,default,16,704.0,-300.0,1004.0,True,0,0,2,13,32,2.4422040589997778,2.44467535900003
78,ok,openjij-sqa,500.0,500.0,100.0,20.0,default,32,124.0,-300.0,424.0,True,0,0,4,11,20,4.161692022000352,4.164642122999794
79,ok,openjij-sqa,500.0,500.0,100.0,30.0,default,default,15692.0,-450.0,16142.0,False,13,13,1,14,45,1.2209045179988607,1.2234689190008794
80,ok,openjij-sqa,500.0,500.0,100.0,30.0,default,16,296.0,-450.0,746.0,True,0,0,2,13,30,2.4054338339992682,2.4079034339993086
81,ok,openjij-sqa,500.0,500.0,100.0,30.0,default,32,248.0,-450.0,698.0,True,0,0,5,10,37,6.12449477500013,6.127019575000304
