case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,missing_edge_count,connected_layout,acceptable_connected_layout,missing_edge_cost,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
92,ok,openjij-sqa,100.0,100.0,200.0,10.0,default,32,41,286.0,-150.0,436.0,False,0,4,3,False,False,600.0,5,10,52,6.461449132999405,6.4639526329992805
93,ok,openjij-sqa,100.0,100.0,200.0,10.0,default,32,42,80.0,-150.0,230.0,False,0,2,2,False,True,400.0,5,10,36,4.60424160900584,4.607123708992731
94,ok,openjij-sqa,100.0,100.0,200.0,10.0,default,32,43,286.0,-150.0,436.0,False,0,4,4,False,False,800.0,4,11,58,4.8502237040083855,4.852805503993295
95,ok,openjij-sqa,100.0,100.0,200.0,10.0,default,32,44,278.0,-150.0,428.0,False,0,4,4,False,False,800.0,6,9,19,5.0862721930025145,5.0888086930062855
96,ok,openjij-sqa,100.0,100.0,200.0,20.0,default,32,40,-28.0,-300.0,272.0,False,0,2,2,False,True,400.0,3,12,36,4.843064293003408,4.845720593002625
97,ok,openjij-sqa,100.0,100.0,200.0,20.0,default,32,41,156.0,-300.0,456.0,False,0,4,4,False,False,800.0,3,12,52,5.105470291004167,5.107948890989064
98,ok,openjij-sqa,100.0,100.0,200.0,20.0,default,32,42,140.0,-300.0,440.0,False,0,4,3,False,False,600.0,4,11,42,4.796170699002687,4.799057499010814
99,ok,openjij-sqa,100.0,100.0,200.0,20.0,default,32,43,136.0,-300.0,436.0,False,0,4,3,False,False,600.0,5,10,18,4.795768797994242,4.798524297992117
100,ok,openjij-sqa,100.0,100.0,200.0,20.0,default,32,44,-72.0,-300.0,228.0,False,0,2,2,False,True,400.0,9,6,23,5.006508193997433,5.0094477940001525
101,ok,openjij-sqa,100.0,100.0,200.0,30.0,default,32,40,-154.0,-450.0,296.0,False,0,2,2,False,True,400.0,4,11,33,4.695244791000732,4.697876591002569
102,ok,openjij-sqa,100.0,100.0,200.0,30.0,default,32,41,-184.0,-450.0,266.0,False,0,2,1,False,True,200.0,5,10,39,4.810705488998792,4.8132182889967225
103,ok,openjij-sqa,100.0,100.0,200.0,30.0,default,32,42,10.0,-450.0,460.0,False,0,4,4,False,False,800.0,3,12,59,4.6104873889999,4.613071189000038
104,ok,openjij-sqa,100.0,100.0,200.0,30.0,default,32,43,22.0,-450.0,472.0,False,0,4,3,False,False,600.0,6,9,75,4.813598790002288,4.831375590001699
105,ok,openjij-sqa,100.0,100.0,200.0,30.0,default,32,44,-190.0,-450.0,260.0,False,0,2,2,False,True,400.0,8,7,52,4.932718391995877,4.936142992009991
106,ok,openjij-sqa,100.0,100.0,300.0,10.0,default,32,40,80.0,-150.0,230.0,False,0,2,2,False,True,600.0,6,9,43,4.8172608530003345,4.8198511530063115
107,ok,openjij-sqa,100.0,100.0,300.0,10.0,default,32,41,278.0,-150.0,428.0,False,0,4,3,False,False,900.0,4,11,42,4.9499152960052015,4.952728495991323
108,ok,openjij-sqa,100.0,100.0,300.0,10.0,default,32,42,80.0,-150.0,230.0,False,0,2,2,False,True,600.0,4,11,34,4.8043923120130785,4.806970012010424
109,ok,openjij-sqa,100.0,100.0,300.0,10.0,default,32,43,82.0,-150.0,232.0,False,0,2,2,False,True,600.0,5,10,38,5.09035790899361,5.093009108997649
110,ok,openjij-sqa,100.0,100.0,300.0,10.0,default,32,44,274.0,-150.0,424.0,False,0,4,3,False,False,900.0,4,11,25,4.856591809002566,4.8595082089887
111,ok,openjij-sqa,100.0,100.0,300.0,20.0,default,32,40,-44.0,-300.0,256.0,False,0,2,2,False,True,600.0,7,8,50,4.885577687993646,4.888092887995299
112,ok,openjij-sqa,100.0,100.0,300.0,20.0,default,32,41,-72.0,-300.0,228.0,False,0,2,1,False,True,300.0,8,7,9,4.724999779005884,4.727624379011104
113,ok,openjij-sqa,100.0,100.0,300.0,20.0,default,32,42,-28.0,-300.0,272.0,False,0,2,2,False,True,600.0,3,12,43,4.914683385009994,4.917678785001044
114,ok,openjij-sqa,100.0,100.0,300.0,20.0,default,32,43,-44.0,-300.0,256.0,False,0,2,2,False,True,600.0,7,8,28,4.89006648400391,4.892691884000669
115,ok,openjij-sqa,100.0,100.0,300.0,20.0,default,32,44,-36.0,-300.0,264.0,False,0,2,2,False,True,600.0,6,9,41,5.133961084007751,5.136814284007414
116,ok,openjij-sqa,100.0,100.0,300.0,30.0,default,32,40,34.0,-450.0,484.0,False,0,4,3,False,False,900.0,4,11,44,5.726746694999747,5.729496494997875
117,ok,openjij-sqa,100.0,100.0,300.0,30.0,default,32,41,-196.0,-450.0,254.0,False,0,2,2,False,True,600.0,7,8,27,7.03864161700767,7.041264416999184
118,ok,openjij-sqa,100.0,100.0,300.0,30.0,default,32,42,-8.0,-450.0,442.0,False,0,4,3,False,False,900.0,7,8,83,6.034561649008538,6.037194449003437
119,ok,openjij-sqa,100.0,100.0,300.0,30.0,default,32,43,-166.0,-450.0,284.0,False,0,2,2,False,True,600.0,6,9,32,5.040423074999126,5.042984575004084
120,ok,openjij-sqa,100.0,100.0,300.0,30.0,default,32,44,-178.0,-450.0,272.0,False,0,2,1,False,True,300.0,9,6,43,4.7673389819974545,4.770396081992658
