case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
28,49,315,140.0,120.0,20.0,42,-750.1886792459991,-960.0,209.81132075400092,False,False,48,0,0,1,36,12,0,13.717117050000525,13.745096450000347
29,49,315,140.0,120.0,20.0,43,-601.1320754723856,-960.0,358.8679245276144,False,False,48,0,0,2,26,22,0,13.242951237998568,13.256728938000379
30,49,315,140.0,120.0,20.0,44,-779.2452830194961,-960.0,180.75471698050387,False,False,48,0,0,1,34,14,0,14.210595020000255,14.222044620000815
31,49,315,140.0,130.0,20.0,42,-729.6226415098645,-960.0,230.37735849013552,False,False,48,0,1,0,25,23,0,13.950487915999474,13.961402216000351
32,49,315,140.0,130.0,20.0,43,-769.2452830194961,-960.0,190.75471698050387,False,False,48,0,0,1,35,13,0,13.516215617999478,13.526650318000975
33,49,315,140.0,130.0,20.0,44,-774.528301887447,-960.0,185.47169811255299,False,False,48,0,1,0,34,14,0,23.61874041199917,23.629765812000187
34,49,315,140.0,140.0,20.0,42,-732.8301886798581,-960.0,227.1698113201419,False,False,48,0,0,1,32,16,0,13.159393498001009,13.17042809799932
35,49,315,140.0,140.0,20.0,43,-579.6226415098645,-960.0,380.3773584901355,False,False,48,0,1,1,28,20,0,13.190929471000345,13.20213097099986
36,49,315,140.0,140.0,20.0,44,-727.5471698117908,-960.0,232.4528301882092,False,False,48,0,0,1,25,23,0,13.083781814000758,13.094389614001557
37,49,315,160.0,110.0,20.0,42,-597.3584905657917,-960.0,362.6415094342083,False,False,48,0,1,1,17,31,0,13.319790437000847,13.33054103699942
38,49,315,160.0,110.0,20.0,43,-621.1320754715707,-960.0,338.8679245284293,False,False,48,0,1,1,29,19,0,13.47980464200009,13.490859841998827
39,49,315,160.0,110.0,20.0,44,-629.0566037733806,-960.0,330.94339622661937,False,False,48,0,2,0,20,28,0,13.231681404999108,13.242286004999187
40,49,315,160.0,120.0,20.0,42,-574.7169811319327,-960.0,385.2830188680673,False,False,48,0,2,0,22,26,0,13.504127279000386,13.515044878999106
41,49,315,160.0,120.0,20.0,43,-729.0566037733806,-960.0,230.94339622661937,False,False,48,0,1,0,24,24,0,13.176426723000986,13.204557723000107
42,49,315,160.0,120.0,20.0,44,-731.6981132073561,-960.0,228.30188679264393,False,False,48,0,0,1,25,23,0,13.146793243000502,13.157291342999088
43,49,315,160.0,130.0,20.0,42,-724.3396226413315,-960.0,235.66037735866848,False,False,48,0,1,0,27,21,0,13.090592782000385,13.10111328200037
44,49,315,160.0,130.0,20.0,43,-726.9811320751905,-960.0,233.01886792480946,False,False,48,0,1,0,29,19,0,13.04689600600068,13.057749405999857
45,49,315,160.0,130.0,20.0,44,-745.4716981132515,-960.0,214.52830188674852,False,False,48,0,0,1,34,14,0,13.204182205001416,13.215180505001626
46,49,315,160.0,140.0,20.0,42,-553.2075471697608,-960.0,406.7924528302392,False,False,48,0,1,1,23,25,0,13.50648574600018,13.517728246000843
47,49,315,160.0,140.0,20.0,43,-576.9811320754234,-960.0,383.0188679245766,False,False,48,0,1,1,32,16,0,13.058752071001436,13.069820070999413
48,49,315,160.0,140.0,20.0,44,-521.5094339620555,-960.0,438.4905660379445,False,False,48,0,1,1,23,25,0,13.104953111000214,13.115989810999963
